"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
15 Dec 2020 06:30:02.870,9.441,-4.491,502.382808
15 Dec 2020 06:31:02.000,10.228,-42.538,628.111937
15 Dec 2020 06:32:02.000,10.988,-61.253,896.473785
15 Dec 2020 06:33:02.000,11.703,-70.125,1191.213724
15 Dec 2020 06:34:02.000,12.369,-74.995,1480.207451
15 Dec 2020 06:35:02.000,12.980,-77.991,1754.684875
15 Dec 2020 06:36:02.000,13.534,-79.984,2012.107804
15 Dec 2020 06:37:02.000,14.028,-81.386,2251.921459
15 Dec 2020 06:38:02.000,14.461,-82.413,2474.276944
15 Dec 2020 06:39:02.000,14.833,-83.186,2679.582923
15 Dec 2020 06:40:02.000,15.145,-83.783,2868.326648
15 Dec 2020 06:41:02.000,15.399,-84.250,3041.001035
15 Dec 2020 06:42:02.000,15.599,-84.620,3198.071406
15 Dec 2020 06:43:02.000,15.747,-84.917,3339.963614
15 Dec 2020 06:44:02.000,15.848,-85.155,3467.058587
15 Dec 2020 06:45:02.000,15.906,-85.346,3579.692247
15 Dec 2020 06:46:02.000,15.925,-85.498,3678.157156
15 Dec 2020 06:47:02.000,15.911,-85.619,3762.703662
15 Dec 2020 06:48:02.000,15.867,-85.714,3833.542471
15 Dec 2020 06:49:02.000,15.799,-85.785,3890.846757
15 Dec 2020 06:50:02.000,15.710,-85.836,3934.753392
15 Dec 2020 06:51:02.000,15.605,-85.870,3965.364618
15 Dec 2020 06:52:02.000,15.487,-85.888,3982.749081
15 Dec 2020 06:53:02.000,15.362,-85.892,3986.942282
15 Dec 2020 06:54:02.000,15.231,-85.882,3977.946997
15 Dec 2020 06:55:02.000,15.100,-85.859,3955.733028
15 Dec 2020 06:56:02.000,14.970,-85.825,3920.236736
15 Dec 2020 06:57:02.000,14.847,-85.778,3871.360072
15 Dec 2020 06:58:02.000,14.734,-85.720,3808.968866
15 Dec 2020 06:59:02.000,14.634,-85.650,3732.891161
15 Dec 2020 07:00:02.000,14.551,-85.567,3642.914494
15 Dec 2020 07:01:02.000,14.491,-85.470,3538.782176
15 Dec 2020 07:02:02.000,14.458,-85.359,3420.189764
15 Dec 2020 07:03:02.000,14.460,-85.232,3286.779656
15 Dec 2020 07:04:02.000,14.505,-85.086,3138.134105
15 Dec 2020 07:05:02.000,14.603,-84.919,2973.768458
15 Dec 2020 07:06:02.000,14.768,-84.726,2793.120106
15 Dec 2020 07:07:02.000,15.021,-84.501,2595.537537
15 Dec 2020 07:08:02.000,15.389,-84.234,2380.263829
15 Dec 2020 07:09:02.000,15.914,-83.912,2146.419297
15 Dec 2020 07:10:02.000,16.661,-83.510,1892.976527
15 Dec 2020 07:11:02.000,17.739,-82.982,1618.734928
15 Dec 2020 07:12:02.000,19.340,-82.239,1322.291281
15 Dec 2020 07:13:02.000,21.840,-81.051,1002.041108
15 Dec 2020 07:14:02.000,26.084,-78.647,656.368678
15 Dec 2020 07:15:02.000,34.350,-69.855,286.175845
15 Dec 2020 07:15:42.075,45.401,-0.629,76.952983

